student_id,UG_institute_tier,UG_branch,UG_percentage,Year_of_passing,GATE_paper,GATE_score,GATE_rank,Category,Work_exp_years,program_id,university_name,dept_specialization,previous_cutoff_gen,previous_cutoff_obc,previous_cutoff_sc,previous_cutoff_st,min_UG_required,university_tier,location_state,difference_from_cutoff,admitted_flag
S0008,Tier-III,CE,82.34,2023,CE,26.72,763,General,1,P018,NIT_Hyderabad,ECE,29.83,27.83,25.83,24.83,60,NIT,West Bengal,-3.11,0
S0008,Tier-III,CE,82.34,2023,CE,26.72,763,General,1,P009,State_Delhi,ME,27.46,25.46,23.46,22.46,65,State,Tamil Nadu,-0.74,0
S0008,Tier-III,CE,82.34,2023,CE,26.72,763,General,1,P006,NIT_Bombay,ECE,29.09,27.09,25.09,24.09,60,NIT,Gujarat,-2.37,0
S0009,Tier-III,CE,75.65,2023,CE,20.68,1141,SC,1,P001,IIIT_Bombay,EE,32.75,30.75,28.75,27.75,55,IIIT,Delhi,-8.07,0
S0009,Tier-III,CE,75.65,2023,CE,20.68,1141,SC,1,P005,IIIT_Chennai,ECE,28.7,26.7,24.7,23.7,65,IIIT,West Bengal,-4.02,1
S0009,Tier-III,CE,75.65,2023,CE,20.68,1141,SC,1,P020,NIT_Warangal,CE,28.57,26.57,24.57,23.57,65,NIT,Gujarat,-3.89,0
S0010,Tier-II,CSE,62.07,2022,CSE,29.73,649,SC,1,P008,NIT_Hyderabad,EE,26.59,24.59,22.59,21.59,55,NIT,Karnataka,7.14,1
S0010,Tier-II,CSE,62.07,2022,CSE,29.73,649,SC,1,P019,State_Pune,ECE,25.37,23.37,21.37,20.37,55,State,Karnataka,8.36,1
S0010,Tier-II,CSE,62.07,2022,CSE,29.73,649,SC,1,P011,IIT_Trichy,EE,34.85,32.85,30.85,29.85,55,IIT,Tamil Nadu,-1.12,0
S0010,Tier-II,CSE,62.07,2022,CSE,29.73,649,SC,1,P001,IIIT_Bombay,EE,32.75,30.75,28.75,27.75,55,IIIT,Delhi,0.98,0
S0010,Tier-II,CSE,62.07,2022,CSE,29.73,649,SC,1,P006,NIT_Bombay,ECE,29.09,27.09,25.09,24.09,60,NIT,Gujarat,4.64,1
S0011,Tier-II,ECE,71.42,2023,ECE,32.57,494,ST,0,P002,IIT_Delhi,CE,30.78,28.78,26.78,25.78,65,IIT,Tamil Nadu,6.79,1
S0011,Tier-II,ECE,71.42,2023,ECE,32.57,494,ST,0,P005,IIIT_Chennai,ECE,28.7,26.7,24.7,23.7,65,IIIT,West Bengal,8.87,1
S0011,Tier-II,ECE,71.42,2023,ECE,32.57,494,ST,0,P014,IIIT_Delhi,CE,28.7,26.7,24.7,23.7,65,IIIT,Telangana,8.87,1
S0011,Tier-II,ECE,71.42,2023,ECE,32.57,494,ST,0,P017,State_Hyderabad,ME,22.38,20.38,18.38,17.38,55,State,Karnataka,15.19,1
S0011,Tier-II,ECE,71.42,2023,ECE,32.57,494,ST,0,P004,IIIT_Bombay,CE,29.52,27.52,25.52,24.52,65,IIIT,Delhi,8.05,1
S0012,Tier-III,CSE,77.03,2023,CSE,30.02,693,OBC,0,P016,Private_Trichy,EE,20.7,18.7,16.7,15.7,55,Private,Maharashtra,11.32,1
S0012,Tier-III,CSE,77.03,2023,CSE,30.02,693,OBC,0,P015,State_Kanpur,ME,26.89,24.89,22.89,21.89,60,State,Gujarat,5.13,1
S0012,Tier-III,CSE,77.03,2023,CSE,30.02,693,OBC,0,P012,State_Chennai,EE,22.27,20.27,18.27,17.27,65,State,West Bengal,9.75,1
S0013,Tier-II,CE,65.45,2021,CE,34.32,445,General,2,P015,State_Kanpur,ME,26.89,24.89,22.89,21.89,60,State,Gujarat,7.43,1
S0013,Tier-II,CE,65.45,2021,CE,34.32,445,General,2,P017,State_Hyderabad,ME,22.38,20.38,18.38,17.38,55,State,Karnataka,11.94,1
S0013,Tier-II,CE,65.45,2021,CE,34.32,445,General,2,P008,NIT_Hyderabad,EE,26.59,24.59,22.59,21.59,55,NIT,Karnataka,7.73,1
S0014,Tier-III,CE,77.89,2023,CE,19.63,1173,OBC,1,P017,State_Hyderabad,ME,22.38,20.38,18.38,17.38,55,State,Karnataka,-0.75,1
S0014,Tier-III,CE,77.89,2023,CE,19.63,1173,OBC,1,P010,NIT_Hyderabad,CE,29.12,27.12,25.12,24.12,65,NIT,Delhi,-7.49,0
S0014,Tier-III,CE,77.89,2023,CE,19.63,1173,OBC,1,P015,State_Kanpur,ME,26.89,24.89,22.89,21.89,60,State,Gujarat,-5.26,0
S0015,Tier-II,EE,78.61,2022,EE,25.84,809,SC,2,P002,IIT_Delhi,CE,30.78,28.78,26.78,25.78,65,IIT,Tamil Nadu,-0.94,1
S0015,Tier-II,EE,78.61,2022,EE,25.84,809,SC,2,P016,Private_Trichy,EE,20.7,18.7,16.7,15.7,55,Private,Maharashtra,9.14,1
S0015,Tier-II,EE,78.61,2022,EE,25.84,809,SC,2,P013,State_Kanpur,EE,24.14,22.14,20.14,19.14,55,State,Uttar Pradesh,5.7,1
S0016,Tier-I,ECE,75.35,2021,ECE,27.58,816,General,0,P004,IIIT_Bombay,CE,29.52,27.52,25.52,24.52,65,IIIT,Delhi,-1.94,0
S0016,Tier-I,ECE,75.35,2021,ECE,27.58,816,General,0,P016,Private_Trichy,EE,20.7,18.7,16.7,15.7,55,Private,Maharashtra,6.88,1
S0016,Tier-I,ECE,75.35,2021,ECE,27.58,816,General,0,P015,State_Kanpur,ME,26.89,24.89,22.89,21.89,60,State,Gujarat,0.69,1
S0016,Tier-I,ECE,75.35,2021,ECE,27.58,816,General,0,P003,NIT_Bombay,CSE,30.99,28.99,26.99,25.99,55,NIT,Delhi,-3.41,0
S0016,Tier-I,ECE,75.35,2021,ECE,27.58,816,General,0,P017,State_Hyderabad,ME,22.38,20.38,18.38,17.38,55,State,Karnataka,5.2,1
S0016,Tier-I,ECE,75.35,2021,ECE,27.58,816,General,0,P006,NIT_Bombay,ECE,29.09,27.09,25.09,24.09,60,NIT,Gujarat,-1.51,0
S0017,Tier-II,CSE,76.85,2021,CSE,29.51,625,OBC,0,P003,NIT_Bombay,CSE,30.99,28.99,26.99,25.99,55,NIT,Delhi,0.52,1
S0017,Tier-II,CSE,76.85,2021,CSE,29.51,625,OBC,0,P005,IIIT_Chennai,ECE,28.7,26.7,24.7,23.7,65,IIIT,West Bengal,2.81,1
S0017,Tier-II,CSE,76.85,2021,CSE,29.51,625,OBC,0,P009,State_Delhi,ME,27.46,25.46,23.46,22.46,65,State,Tamil Nadu,4.05,1
S0017,Tier-II,CSE,76.85,2021,CSE,29.51,625,OBC,0,P011,IIT_Trichy,EE,34.85,32.85,30.85,29.85,55,IIT,Tamil Nadu,-3.34,0
S0018,Tier-II,CSE,63.01,2022,CSE,35.4,398,General,0,P020,NIT_Warangal,CE,28.57,26.57,24.57,23.57,65,NIT,Gujarat,6.83,1
S0018,Tier-II,CSE,63.01,2022,CSE,35.4,398,General,0,P017,State_Hyderabad,ME,22.38,20.38,18.38,17.38,55,State,Karnataka,13.02,1
S0018,Tier-II,CSE,63.01,2022,CSE,35.4,398,General,0,P010,NIT_Hyderabad,CE,29.12,27.12,25.12,24.12,65,NIT,Delhi,6.28,1
S0018,Tier-II,CSE,63.01,2022,CSE,35.4,398,General,0,P015,State_Kanpur,ME,26.89,24.89,22.89,21.89,60,State,Gujarat,8.51,1
S0018,Tier-II,CSE,63.01,2022,CSE,35.4,398,General,0,P014,IIIT_Delhi,CE,28.7,26.7,24.7,23.7,65,IIIT,Telangana,6.7,1
S0018,Tier-II,CSE,63.01,2022,CSE,35.4,398,General,0,P002,IIT_Delhi,CE,30.78,28.78,26.78,25.78,65,IIT,Tamil Nadu,4.62,1
S0019,Tier-II,ME,82.6,2021,ME,22.25,1061,OBC,2,P018,NIT_Hyderabad,ECE,29.83,27.83,25.83,24.83,60,NIT,West Bengal,-5.58,0
S0019,Tier-II,ME,82.6,2021,ME,22.25,1061,OBC,2,P007,NIT_Trichy,EE,26.39,24.39,22.39,21.39,55,NIT,Tamil Nadu,-2.14,0
S0019,Tier-II,ME,82.6,2021,ME,22.25,1061,OBC,2,P014,IIIT_Delhi,CE,28.7,26.7,24.7,23.7,65,IIIT,Telangana,-4.45,0
S0020,Tier-II,ME,70.07,2022,ME,24.66,904,General,0,P008,NIT_Hyderabad,EE,26.59,24.59,22.59,21.59,55,NIT,Karnataka,-1.93,0
S0020,Tier-II,ME,70.07,2022,ME,24.66,904,General,0,P014,IIIT_Delhi,CE,28.7,26.7,24.7,23.7,65,IIIT,Telangana,-4.04,0
S0020,Tier-II,ME,70.07,2022,ME,24.66,904,General,0,P011,IIT_Trichy,EE,34.85,32.85,30.85,29.85,55,IIT,Tamil Nadu,-10.19,0
S0020,Tier-II,ME,70.07,2022,ME,24.66,904,General,0,P015,State_Kanpur,ME,26.89,24.89,22.89,21.89,60,State,Gujarat,-2.23,0
S0020,Tier-II,ME,70.07,2022,ME,24.66,904,General,0,P013,State_Kanpur,EE,24.14,22.14,20.14,19.14,55,State,Uttar Pradesh,0.52,0
S0020,Tier-II,ME,70.07,2022,ME,24.66,904,General,0,P007,NIT_Trichy,EE,26.39,24.39,22.39,21.39,55,NIT,Tamil Nadu,-1.73,0
S0021,Tier-II,EE,86.42,2022,EE,20.99,1119,General,0,P011,IIT_Trichy,EE,34.85,32.85,30.85,29.85,55,IIT,Tamil Nadu,-13.86,0
S0021,Tier-II,EE,86.42,2022,EE,20.99,1119,General,0,P014,IIIT_Delhi,CE,28.7,26.7,24.7,23.7,65,IIIT,Telangana,-7.71,0
S0021,Tier-II,EE,86.42,2022,EE,20.99,1119,General,0,P020,NIT_Warangal,CE,28.57,26.57,24.57,23.57,65,NIT,Gujarat,-7.58,0
S0022,Tier-II,CSE,85.31,2021,CSE,26.05,812,General,1,P012,State_Chennai,EE,22.27,20.27,18.27,17.27,65,State,West Bengal,3.78,1
S0022,Tier-II,CSE,85.31,2021,CSE,26.05,812,General,1,P005,IIIT_Chennai,ECE,28.7,26.7,24.7,23.7,65,IIIT,West Bengal,-2.65,0
S0022,Tier-II,CSE,85.31,2021,CSE,26.05,812,General,1,P016,Private_Trichy,EE,20.7,18.7,16.7,15.7,55,Private,Maharashtra,5.35,1
S0022,Tier-II,CSE,85.31,2021,CSE,26.05,812,General,1,P003,NIT_Bombay,CSE,30.99,28.99,26.99,25.99,55,NIT,Delhi,-4.94,0
S0022,Tier-II,CSE,85.31,2021,CSE,26.05,812,General,1,P017,State_Hyderabad,ME,22.38,20.38,18.38,17.38,55,State,Karnataka,3.67,1
S0023,Tier-III,CSE,75.04,2021,CSE,32.62,538,General,2,P003,NIT_Bombay,CSE,30.99,28.99,26.99,25.99,55,NIT,Delhi,1.63,1
S0023,Tier-III,CSE,75.04,2021,CSE,32.62,538,General,2,P014,IIIT_Delhi,CE,28.7,26.7,24.7,23.7,65,IIIT,Telangana,3.92,1
S0023,Tier-III,CSE,75.04,2021,CSE,32.62,538,General,2,P004,IIIT_Bombay,CE,29.52,27.52,25.52,24.52,65,IIIT,Delhi,3.1,1
S0024,Tier-I,ECE,82.74,2022,ECE,30.16,650,General,0,P005,IIIT_Chennai,ECE,28.7,26.7,24.7,23.7,65,IIIT,West Bengal,1.46,1
S0024,Tier-I,ECE,82.74,2022,ECE,30.16,650,General,0,P018,NIT_Hyderabad,ECE,29.83,27.83,25.83,24.83,60,NIT,West Bengal,0.33,1
S0024,Tier-I,ECE,82.74,2022,ECE,30.16,650,General,0,P002,IIT_Delhi,CE,30.78,28.78,26.78,25.78,65,IIT,Tamil Nadu,-0.62,1
S0024,Tier-I,ECE,82.74,2022,ECE,30.16,650,General,0,P011,IIT_Trichy,EE,34.85,32.85,30.85,29.85,55,IIT,Tamil Nadu,-4.69,0
S0024,Tier-I,ECE,82.74,2022,ECE,30.16,650,General,0,P004,IIIT_Bombay,CE,29.52,27.52,25.52,24.52,65,IIIT,Delhi,0.64,0
S0025,Tier-II,CE,82.31,2021,CE,23.24,955,General,0,P012,State_Chennai,EE,22.27,20.27,18.27,17.27,65,State,West Bengal,0.97,1
S0025,Tier-II,CE,82.31,2021,CE,23.24,955,General,0,P014,IIIT_Delhi,CE,28.7,26.7,24.7,23.7,65,IIIT,Telangana,-5.46,0
S0025,Tier-II,CE,82.31,2021,CE,23.24,955,General,0,P002,IIT_Delhi,CE,30.78,28.78,26.78,25.78,65,IIT,Tamil Nadu,-7.54,0
S0025,Tier-II,CE,82.31,2021,CE,23.24,955,General,0,P010,NIT_Hyderabad,CE,29.12,27.12,25.12,24.12,65,NIT,Delhi,-5.88,0
S0025,Tier-II,CE,82.31,2021,CE,23.24,955,General,0,P017,State_Hyderabad,ME,22.38,20.38,18.38,17.38,55,State,Karnataka,0.86,1
S0025,Tier-II,CE,82.31,2021,CE,23.24,955,General,0,P006,NIT_Bombay,ECE,29.09,27.09,25.09,24.09,60,NIT,Gujarat,-5.85,0
S0026,Tier-III,ECE,73.68,2021,ECE,26.65,799,General,2,P019,State_Pune,ECE,25.37,23.37,21.37,20.37,55,State,Karnataka,1.28,1
S0026,Tier-III,ECE,73.68,2021,ECE,26.65,799,General,2,P017,State_Hyderabad,ME,22.38,20.38,18.38,17.38,55,State,Karnataka,4.27,1
S0026,Tier-III,ECE,73.68,2021,ECE,26.65,799,General,2,P007,NIT_Trichy,EE,26.39,24.39,22.39,21.39,55,NIT,Tamil Nadu,0.26,1
S0027,Tier-II,ME,80.57,2021,ME,15.65,1317,General,0,P016,Private_Trichy,EE,20.7,18.7,16.7,15.7,55,Private,Maharashtra,-5.05,0
S0027,Tier-II,ME,80.57,2021,ME,15.65,1317,General,0,P008,NIT_Hyderabad,EE,26.59,24.59,22.59,21.59,55,NIT,Karnataka,-10.94,0
S0027,Tier-II,ME,80.57,2021,ME,15.65,1317,General,0,P004,IIIT_Bombay,CE,29.52,27.52,25.52,24.52,65,IIIT,Delhi,-13.87,0
S0027,Tier-II,ME,80.57,2021,ME,15.65,1317,General,0,P012,State_Chennai,EE,22.27,20.27,18.27,17.27,65,State,West Bengal,-6.62,0
S0028,Tier-III,EE,85.02,2022,EE,32.37,530,General,2,P004,IIIT_Bombay,CE,29.52,27.52,25.52,24.52,65,IIIT,Delhi,2.85,1
S0028,Tier-III,EE,85.02,2022,EE,32.37,530,General,2,P009,State_Delhi,ME,27.46,25.46,23.46,22.46,65,State,Tamil Nadu,4.91,1
S0028,Tier-III,EE,85.02,2022,EE,32.37,530,General,2,P008,NIT_Hyderabad,EE,26.59,24.59,22.59,21.59,55,NIT,Karnataka,5.78,1
S0028,Tier-III,EE,85.02,2022,EE,32.37,530,General,2,P014,IIIT_Delhi,CE,28.7,26.7,24.7,23.7,65,IIIT,Telangana,3.67,1
S0028,Tier-III,EE,85.02,2022,EE,32.37,530,General,2,P001,IIIT_Bombay,EE,32.75,30.75,28.75,27.75,55,IIIT,Delhi,-0.38,0
S0029,Tier-I,EE,82.88,2021,EE,21.85,1096,ST,0,P001,IIIT_Bombay,EE,32.75,30.75,28.75,27.75,55,IIIT,Delhi,-5.9,0
S0029,Tier-I,EE,82.88,2021,EE,21.85,1096,ST,0,P006,NIT_Bombay,ECE,29.09,27.09,25.09,24.09,60,NIT,Gujarat,-2.24,0
S0029,Tier-I,EE,82.88,2021,EE,21.85,1096,ST,0,P009,State_Delhi,ME,27.46,25.46,23.46,22.46,65,State,Tamil Nadu,-0.61,0
S0029,Tier-I,EE,82.88,2021,EE,21.85,1096,ST,0,P010,NIT_Hyderabad,CE,29.12,27.12,25.12,24.12,65,NIT,Delhi,-2.27,0
S0029,Tier-I,EE,82.88,2021,EE,21.85,1096,ST,0,P011,IIT_Trichy,EE,34.85,32.85,30.85,29.85,55,IIT,Tamil Nadu,-8.0,0
S0030,Tier-III,CSE,78.08,2021,CSE,29.89,606,OBC,0,P001,IIIT_Bombay,EE,32.75,30.75,28.75,27.75,55,IIIT,Delhi,-0.86,1
S0030,Tier-III,CSE,78.08,2021,CSE,29.89,606,OBC,0,P006,NIT_Bombay,ECE,29.09,27.09,25.09,24.09,60,NIT,Gujarat,2.8,1
S0030,Tier-III,CSE,78.08,2021,CSE,29.89,606,OBC,0,P005,IIIT_Chennai,ECE,28.7,26.7,24.7,23.7,65,IIIT,West Bengal,3.19,1
S0030,Tier-III,CSE,78.08,2021,CSE,29.89,606,OBC,0,P013,State_Kanpur,EE,24.14,22.14,20.14,19.14,55,State,Uttar Pradesh,7.75,1
S0030,Tier-III,CSE,78.08,2021,CSE,29.89,606,OBC,0,P003,NIT_Bombay,CSE,30.99,28.99,26.99,25.99,55,NIT,Delhi,0.9,1
S0031,Tier-I,CE,84.0,2021,CE,28.76,669,SC,0,P001,IIIT_Bombay,EE,32.75,30.75,28.75,27.75,55,IIIT,Delhi,0.01,0
S0031,Tier-I,CE,84.0,2021,CE,28.76,669,SC,0,P003,NIT_Bombay,CSE,30.99,28.99,26.99,25.99,55,NIT,Delhi,1.77,1
S0031,Tier-I,CE,84.0,2021,CE,28.76,669,SC,0,P017,State_Hyderabad,ME,22.38,20.38,18.38,17.38,55,State,Karnataka,10.38,1
S0031,Tier-I,CE,84.0,2021,CE,28.76,669,SC,0,P007,NIT_Trichy,EE,26.39,24.39,22.39,21.39,55,NIT,Tamil Nadu,6.37,1
S0032,Tier-II,ECE,83.79,2022,ECE,22.68,1045,General,0,P014,IIIT_Delhi,CE,28.7,26.7,24.7,23.7,65,IIIT,Telangana,-6.02,0
S0032,Tier-II,ECE,83.79,2022,ECE,22.68,1045,General,0,P015,State_Kanpur,ME,26.89,24.89,22.89,21.89,60,State,Gujarat,-4.21,0
S0032,Tier-II,ECE,83.79,2022,ECE,22.68,1045,General,0,P011,IIT_Trichy,EE,34.85,32.85,30.85,29.85,55,IIT,Tamil Nadu,-12.17,0
S0032,Tier-II,ECE,83.79,2022,ECE,22.68,1045,General,0,P006,NIT_Bombay,ECE,29.09,27.09,25.09,24.09,60,NIT,Gujarat,-6.41,0
S0032,Tier-II,ECE,83.79,2022,ECE,22.68,1045,General,0,P012,State_Chennai,EE,22.27,20.27,18.27,17.27,65,State,West Bengal,0.41,1
S0032,Tier-II,ECE,83.79,2022,ECE,22.68,1045,General,0,P005,IIIT_Chennai,ECE,28.7,26.7,24.7,23.7,65,IIIT,West Bengal,-6.02,0
S0033,Tier-II,CSE,81.71,2023,CSE,34.09,469,General,1,P019,State_Pune,ECE,25.37,23.37,21.37,20.37,55,State,Karnataka,8.72,1
S0033,Tier-II,CSE,81.71,2023,CSE,34.09,469,General,1,P003,NIT_Bombay,CSE,30.99,28.99,26.99,25.99,55,NIT,Delhi,3.1,1
S0033,Tier-II,CSE,81.71,2023,CSE,34.09,469,General,1,P002,IIT_Delhi,CE,30.78,28.78,26.78,25.78,65,IIT,Tamil Nadu,3.31,1
S0033,Tier-II,CSE,81.71,2023,CSE,34.09,469,General,1,P005,IIIT_Chennai,ECE,28.7,26.7,24.7,23.7,65,IIIT,West Bengal,5.39,1
S0033,Tier-II,CSE,81.71,2023,CSE,34.09,469,General,1,P006,NIT_Bombay,ECE,29.09,27.09,25.09,24.09,60,NIT,Gujarat,5.0,1
S0034,Tier-III,ECE,83.12,2023,ECE,36.94,340,OBC,0,P003,NIT_Bombay,CSE,30.99,28.99,26.99,25.99,55,NIT,Delhi,7.95,1
S0034,Tier-III,ECE,83.12,2023,ECE,36.94,340,OBC,0,P009,State_Delhi,ME,27.46,25.46,23.46,22.46,65,State,Tamil Nadu,11.48,1
S0034,Tier-III,ECE,83.12,2023,ECE,36.94,340,OBC,0,P015,State_Kanpur,ME,26.89,24.89,22.89,21.89,60,State,Gujarat,12.05,1
S0035,Tier-II,ECE,79.05,2023,ECE,21.92,1057,OBC,2,P016,Private_Trichy,EE,20.7,18.7,16.7,15.7,55,Private,Maharashtra,3.22,0
S0035,Tier-II,ECE,79.05,2023,ECE,21.92,1057,OBC,2,P015,State_Kanpur,ME,26.89,24.89,22.89,21.89,60,State,Gujarat,-2.97,0
S0035,Tier-II,ECE,79.05,2023,ECE,21.92,1057,OBC,2,P014,IIIT_Delhi,CE,28.7,26.7,24.7,23.7,65,IIIT,Telangana,-4.78,0
S0035,Tier-II,ECE,79.05,2023,ECE,21.92,1057,OBC,2,P009,State_Delhi,ME,27.46,25.46,23.46,22.46,65,State,Tamil Nadu,-3.54,0
S0035,Tier-II,ECE,79.05,2023,ECE,21.92,1057,OBC,2,P007,NIT_Trichy,EE,26.39,24.39,22.39,21.39,55,NIT,Tamil Nadu,-2.47,0
S0035,Tier-II,ECE,79.05,2023,ECE,21.92,1057,OBC,2,P013,State_Kanpur,EE,24.14,22.14,20.14,19.14,55,State,Uttar Pradesh,-0.22,1
S0036,Tier-II,CSE,78.9,2021,CSE,27.92,802,General,0,P012,State_Chennai,EE,22.27,20.27,18.27,17.27,65,State,West Bengal,5.65,1
